Módulo atual,Faltas Consecutivas,Histórico de reprovações,Histórico de Recuperação,Historico de Reprovado por Falta (disciplinas),Idade,Sexo (código),Pend. Acad.,Possui Pendência Financeira,Bolsista,Antecipou Parcela
0,0,0,0,0,25,1,0,0,0,0
0,0,0,1,15,30,1,0,1,0,0
0,0,0,0,0,23,0,0,0,0,0
0,0,0,0,1,31,1,0,0,0,0
0,0,0,0,14,28,1,0,1,0,0
0,0,1,2,1,22,0,1,0,0,0
0,0,0,0,0,24,1,0,0,0,0
0,0,0,1,13,31,1,0,1,0,0
0,0,0,0,0,40,1,0,0,0,0
0,0,0,0,0,29,0,0,0,0,0
0,0,0,0,13,32,1,0,1,0,0
0,0,0,0,0,35,1,0,0,0,0
0,0,0,0,0,23,0,0,0,0,0
0,0,0,0,0,25,0,0,0,0,0
0,0,0,0,0,31,1,0,0,0,0
0,0,0,0,0,27,1,0,0,0,0
0,0,0,0,0,22,1,0,0,0,0
0,0,0,0,0,29,1,0,0,0,0
0,0,0,0,0,31,0,0,0,0,0
0,0,0,0,0,25,0,0,0,0,0
0,0,0,0,0,20,1,0,0,0,0
0,0,0,1,12,37,0,0,1,0,0
0,0,0,0,0,25,1,0,0,0,0
0,0,0,0,0,27,0,0,0,0,0
0,0,0,0,1,24,1,0,0,0,0
0,0,0,0,0,26,0,0,0,0,0
0,0,1,3,2,40,1,1,0,0,0
0,0,0,0,0,24,1,0,0,0,0
0,0,0,0,1,23,1,0,0,0,0
0,0,0,0,0,29,1,0,0,0,0
0,0,0,0,0,26,1,0,0,0,0
0,0,0,0,0,26,0,0,0,0,0
0,0,0,0,13,26,1,0,1,0,0
0,0,0,0,0,27,1,0,0,0,0
0,0,0,0,0,33,0,0,0,0,0
0,0,0,0,0,26,1,0,0,0,0
0,0,0,0,0,32,1,0,0,0,0
0,0,0,0,0,27,1,0,0,0,0
0,0,0,0,0,35,1,0,0,0,0
0,0,0,0,0,22,1,0,0,0,0
0,0,0,0,0,34,1,0,0,0,0
3,0,0,0,0,23,1,1,0,0,0
0,0,0,0,0,32,1,0,0,0,0
0,0,0,0,0,24,1,0,0,0,0
0,0,0,0,0,24,1,0,0,0,0
0,0,0,0,0,30,0,0,0,0,0
0,0,0,0,3,21,0,0,0,0,0
0,0,0,1,13,25,0,0,1,0,0
0,0,0,0,11,35,0,0,1,0,0
0,0,0,0,0,25,1,0,0,0,0
0,15,0,0,13,24,1,0,1,0,0
0,0,0,0,1,21,1,0,0,0,0
0,0,0,0,0,37,1,0,0,0,0
0,0,0,0,0,25,0,0,0,0,0
0,0,0,0,4,23,0,0,0,0,0
0,0,1,0,0,21,0,0,0,0,0
0,0,0,0,0,25,1,0,0,0,0
0,0,0,0,0,25,0,1,0,0,0
0,0,1,0,0,23,1,0,0,0,0
0,0,0,0,0,25,1,0,0,0,0
0,0,0,0,0,29,0,0,0,0,0
0,0,0,0,0,25,1,0,0,0,0
0,0,0,0,0,58,1,0,0,0,0
0,0,0,0,0,23,1,0,0,0,0
0,0,0,0,1,48,1,0,0,0,0
0,0,0,0,0,38,1,0,0,0,0
0,0,0,0,0,22,1,0,0,0,0
0,0,0,0,0,24,0,0,0,0,0
0,0,0,0,0,29,1,0,0,0,0
0,0,0,0,0,24,1,0,0,0,0
0,0,0,0,14,39,0,0,1,0,0
0,0,0,0,0,29,0,0,0,0,0
0,0,0,0,0,28,1,0,0,0,0
0,0,0,0,16,23,1,0,1,0,0
3,0,0,0,2,31,1,1,0,0,0
0,0,0,0,0,23,1,0,0,0,0
0,0,0,0,0,24,1,0,0,0,0
0,0,0,0,0,30,0,0,0,0,0
0,0,0,0,13,32,1,0,1,0,0
0,0,0,0,0,25,1,0,0,0,0
0,0,0,0,0,42,1,0,0,0,0
0,0,0,0,0,27,1,0,0,0,0
3,0,0,0,0,38,1,1,0,0,0
0,0,0,0,0,30,0,0,0,0,0
0,0,0,0,0,34,1,0,0,0,0
0,0,0,0,0,38,1,0,0,0,0
0,0,0,0,1,39,1,0,0,0,0
0,0,0,0,0,30,0,0,0,0,0
0,0,0,0,0,21,1,0,0,0,0
0,0,0,0,0,34,1,0,0,0,0
0,0,0,0,0,28,1,0,0,0,0
0,0,0,0,0,31,1,0,0,0,0
0,0,0,0,0,31,0,0,0,0,0
0,0,0,0,0,25,0,0,0,0,0
0,0,0,0,0,43,1,0,0,0,0
0,0,0,0,0,26,0,0,0,0,0
0,0,0,0,0,24,1,0,0,0,0
0,0,0,0,0,27,0,0,0,0,0
0,0,0,0,0,26,0,0,0,0,0
0,0,0,0,0,24,1,0,0,0,0
0,0,0,0,0,25,1,0,0,0,0
0,0,0,0,0,26,1,0,0,0,0
0,0,0,0,0,23,0,0,0,0,0
0,0,0,0,11,30,1,0,1,0,0
0,0,0,0,15,26,0,0,1,0,0
0,0,0,0,1,25,0,0,0,0,0
0,0,0,1,11,25,0,0,1,0,0
0,0,0,0,0,31,0,0,0,0,0
0,0,0,0,0,24,1,0,0,0,0
3,0,1,0,1,20,0,1,0,0,0
0,0,0,0,0,36,1,0,0,0,0
0,0,0,1,13,29,1,0,1,0,0
0,0,0,0,0,25,1,0,0,0,0
0,0,0,0,10,38,1,0,1,0,0
0,0,0,2,6,43,1,0,1,0,0
0,0,0,0,0,39,1,0,0,0,0
0,0,0,0,2,26,0,0,0,0,0
0,0,0,0,2,32,1,0,0,0,0
0,0,0,0,11,31,0,0,1,0,0
0,0,0,0,12,22,1,0,1,0,0
0,8,0,4,4,21,0,1,0,0,0
0,0,0,0,0,44,0,0,0,0,0
0,0,0,0,3,25,0,1,0,0,0
0,0,0,0,0,41,1,0,0,0,0
0,0,0,0,12,31,1,0,1,0,0
0,17,0,0,0,24,1,0,0,0,0
0,0,0,0,0,40,0,0,0,0,0
0,0,0,0,0,27,1,0,0,0,0
0,0,0,0,14,26,1,0,1,0,0
0,0,0,0,0,25,1,0,0,0,0
0,25,0,0,7,37,1,0,1,0,0
0,0,0,0,1,32,1,0,0,0,0
0,0,0,0,1,30,0,0,0,0,0
0,0,0,0,0,34,0,0,0,0,0
0,0,0,0,1,24,0,0,0,0,0
0,0,0,0,0,19,1,0,0,0,0
0,0,0,0,1,27,0,0,0,0,0
0,0,0,0,0,22,1,0,0,0,0
0,12,0,0,0,23,0,0,0,0,0
0,11,0,0,2,32,0,0,1,0,0
0,0,0,0,0,23,0,0,0,0,0
0,9,0,0,7,32,0,0,1,0,0
0,13,0,0,7,34,1,0,1,0,0
0,13,0,0,5,22,1,0,1,0,0
0,0,0,0,7,29,1,0,1,0,0
0,7,0,0,5,24,0,0,1,0,0
0,0,0,0,0,32,1,0,0,0,0
0,0,0,0,7,55,1,0,1,0,0
0,0,0,0,0,29,1,0,0,0,0
0,0,0,0,0,25,0,0,0,0,0
0,0,0,0,6,22,1,0,1,0,0
0,1,0,0,5,23,0,1,0,0,0
0,0,0,0,6,27,1,0,1,0,0
0,0,0,0,0,22,1,0,0,0,0
0,0,0,0,1,23,1,0,0,0,0
0,0,0,0,0,26,0,0,0,0,0
0,5,0,0,5,19,0,0,1,0,0
0,0,0,0,4,44,1,1,0,0,0
0,11,0,0,5,42,0,0,1,0,0
0,13,2,1,2,24,1,0,1,0,0
0,0,0,0,13,23,0,0,1,0,0
0,5,0,0,0,24,1,0,0,0,0
0,0,0,0,0,25,1,0,0,0,0
0,0,0,0,0,38,1,0,0,0,0
0,0,0,0,0,20,1,0,0,0,0
0,0,0,0,0,22,1,0,0,0,0
0,0,0,0,0,22,1,0,0,0,0
0,0,0,0,0,26,1,0,0,0,0
0,0,1,0,0,28,0,0,0,0,0
0,0,0,0,0,29,1,0,0,0,0
0,0,0,0,0,23,0,0,0,0,0
0,0,0,0,0,27,1,0,0,0,0
0,13,0,0,4,25,1,0,1,0,0
0,0,0,0,0,29,1,0,0,0,0
0,13,0,1,4,19,1,0,1,0,0
0,7,0,0,2,23,1,0,1,0,0
0,0,1,0,2,20,0,1,0,0,0
0,13,0,0,4,24,1,0,1,0,0
0,0,0,0,0,22,0,0,0,0,0
0,11,0,0,2,25,0,0,1,0,0
0,0,1,0,1,25,0,0,0,0,0
0,8,0,0,0,24,0,0,0,0,0
0,0,0,0,0,22,1,0,0,0,0
0,8,0,0,0,26,1,0,0,0,0
0,0,0,0,0,22,1,0,0,0,0
0,0,0,0,0,34,1,1,0,0,0
0,1,0,0,3,21,0,0,1,0,0
0,0,0,0,0,40,1,0,0,0,0
0,0,0,0,0,21,0,0,0,0,0
0,0,0,0,0,27,1,0,0,0,0
0,0,0,0,0,24,1,0,0,0,0
0,13,0,0,3,23,0,0,1,0,0
0,0,1,0,0,25,1,0,0,0,0
0,0,0,0,0,46,0,0,0,0,0
3,0,1,1,2,25,1,0,1,0,0
0,0,0,0,0,24,1,0,0,0,0
0,0,0,0,0,21,1,0,0,0,0
2,1,1,0,1,27,0,0,0,0,0
0,4,0,0,4,35,1,0,1,0,0
0,0,0,0,0,25,1,0,0,0,0
0,4,0,0,4,33,1,0,1,0,0
0,0,0,0,0,34,1,0,0,0,0
0,13,0,0,0,23,1,0,0,0,0
0,0,0,0,0,21,0,0,0,0,0
0,0,0,0,0,29,0,0,0,0,0
0,13,0,0,2,30,0,0,1,0,0
0,13,0,0,2,23,1,0,1,0,0
